"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-25 00:00:00","17.692","21.731","Valid","11.875","11.875","Valid","11.179","11.179","Valid"
"2019-06-25 00:15:00","16.816","20.855","Valid","12.791","12.791","Valid","11.943","11.943","Valid"
"2019-06-25 00:30:00","20.4","24.439","Valid","13.423","13.423","Valid","12.91","12.91","Invalid (1)"
"2019-06-25 00:45:00","23.547","27.586","Valid","14.587","14.587","Valid","13.565","13.565","Invalid (1)"
"2019-06-25 01:00:00","21.957","25.996","Valid","14.917","14.917","Valid","13.943","13.943","Valid"
"2019-06-25 01:15:00","23.301","27.34","Valid","15.355","15.355","Valid","14.629","14.629","Invalid (1)"
"2019-06-25 01:30:00","23.538","27.577","Valid","16.025","16.025","Valid","15.363","15.363","Valid"
"2019-06-25 01:45:00","22.853","26.892","Valid","15.708","15.708","Valid","15.023","15.023","Valid"
"2019-06-25 02:00:00","24.577","28.616","Valid","15.907","15.907","Valid","14.836","14.836","Valid"
"2019-06-25 02:15:00","25.106","29.145","Valid","14.923","14.923","Valid","14.469","14.469","Invalid (1)"
"2019-06-25 02:30:00","24.706","28.745","Valid","15.747","15.747","Valid","14.825","14.825","Invalid (1)"
"2019-06-25 02:45:00","22.672","26.711","Valid","16.447","16.447","Valid","15.115","15.115","Invalid (1)"
"2019-06-25 03:00:00","22.048","26.087","Valid","16.144","16.144","Valid","15.257","15.257","Valid"
"2019-06-25 03:15:00","16.221","20.26","Valid","13.336","13.336","Valid","12.795","12.795","Valid"
"2019-06-25 03:30:00","15.767","19.806","Valid","13.507","13.507","Valid","13.031","13.031","Valid"
"2019-06-25 03:45:00","15.981","20.02","Valid","14.507","14.507","Valid","14.199","14.199","Valid"
"2019-06-25 04:00:00","17.61","21.649","Valid","16.88","16.88","Valid","15.412","15.412","Valid"
"2019-06-25 04:15:00","20.719","24.758","Valid","17.467","17.467","Valid","16.325","16.325","Valid"
"2019-06-25 04:30:00","19.434","23.473","Valid","22.227","22.227","Valid","20.582","20.582","Invalid (1)"
"2019-06-25 04:45:00","16.828","20.867","Valid","23.267","23.267","Valid","21.819","21.819","Valid"
"2019-06-25 05:00:00","16.353","20.392","Valid","23.189","23.189","Valid","21.751","21.751","Valid"
"2019-06-25 05:15:00","15.948","19.987","Valid","24.156","24.156","Valid","22.557","22.557","Valid"
